"Station","Lat","Long","Depth","Bottom","YEAR","MONTH","MEAN","STDEV","COUNT"
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2000,2,18.256,0.203149,81
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2000,3,20.6672,1.46272,658
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2000,4,21.7626,1.18066,572
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2000,5,25.5217,2.01635,708
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2000,6,27.6689,0.869883,416
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2000,7,28.7548,1.25103,427
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2000,8,29.5047,0.624476,267
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2000,9,27.8579,1.16048,202
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2000,10,23.008,1.91503,717
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2000,11,22.3379,1.20108,293
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2000,12,14.8493,0.553465,27
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,1,12.4045,0.0938878,64
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,2,17.3908,2.34433,420
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,3,15.7389,0.33689,324
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,4,22.0606,2.13568,703
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,5,25.7551,1.13027,642
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,6,27.8896,0.793463,224
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,7,29.371,0.728595,116
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,8,29.4794,0.846606,427
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,9,26.8376,1.49523,411
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,10,21.8034,2.0652,383
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,11,19.6439,1.02606,708
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2001,12,18.6362,2.76836,374
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,1,17.7746,0.362193,38
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,2,16.5714,2.01835,310
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,3,19.9319,1.64814,133
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,4,24.983,2.25982,509
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,5,26.3008,1.80061,605
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,6,28.5076,0.710172,392
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,7,29.5543,1.21758,1355
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,8,28.9225,1.16815,1719
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,9,28.1933,1.41964,1627
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,10,26.7213,2.0235,2551
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,11,20.4816,2.554,1569
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2002,12,14.3253,1.12641,1030
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,1,11.7426,1.46122,1462
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,2,14.9149,1.95112,871
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,3,20.841,1.83554,1426
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,4,21.8809,2.02107,2448
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,5,26.9293,1.41958,2537
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,6,28.6312,1.45077,1600
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,7,29.401,1.58864,1338
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,8,28.7055,1.25296,1959
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,9,27.8114,0.997446,1904
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,10,23.8411,1.1311,2241
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,11,21.7262,1.89877,2316
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2003,12,14.2052,1.3932,753
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,1,13.2221,1.33743,1329
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,2,13.2625,0.897126,470
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,3,19.0523,1.80382,2447
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,4,20.6891,2.0605,2224
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,5,26.678,1.7599,3467
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,6,29.643,1.15156,2124
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,7,30.0818,1.5747,2009
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,8,29.622,1.56878,2119
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,9,26.9031,1.78204,1815
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,10,24.5187,1.49849,2354
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,11,21.3527,2.83397,1634
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2004,12,16.8867,2.03562,1196
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2005,1,14.6294,2.41408,673
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2005,2,14.7177,1.24355,993
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2005,3,16.8107,2.00116,1771
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2005,4,20.6975,0.89777,2509
"SUW01",29.5138594494,-83.4463434482,2,"SAV",2005,5,25.3262,2.21307,2779
