"Date","ma01","ma05","ma15","ma30","sd05","sd15","sd30","lag0","lag1","lag2","lag3","lag4","lag5","lag6","lag7","lag8","lag9","lag10","lag11","lag12","lag13","lag14","lag15","lag16","lag17","lag18","lag19","lag20","lag21","lag22","lag23","lag24","lag25","lag26","lag27","lag28","lag29","lag30","lag31","lag32","lag33","lag34","lag35","lag36","lag37","lag38","lag39","lag40","lag41","lag42","lag43","lag44","lag45"
1997-01-01,6810,6860,6534.66666666667,6242.66666666667,33.166247903554,377.053741275065,446.541756423613,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400,5720,6010,5630,5660,5670,6050,5900,5940,5990,5910,5900
1997-01-02,6810,6852,6577.33333333333,6284.66666666667,40.2492235949962,368.965090618663,438.325444621116,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400,5720,6010,5630,5660,5670,6050,5900,5940,5990,5910
1997-01-03,6720,6822,6596.66666666667,6327.33333333333,69.065186599328,368.290775390988,414.944394557527,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400,5720,6010,5630,5660,5670,6050,5900,5940,5990
1997-01-04,6630,6768,6649.33333333333,6368.33333333333,93.9148550549912,303.066863595352,379.401373612235,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400,5720,6010,5630,5660,5670,6050,5900,5940
1997-01-05,6660,6726,6699.33333333333,6400,83.2466215530696,223.908995119084,361.796284840154,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400,5720,6010,5630,5660,5670,6050,5900
1997-01-06,6700,6704,6740.66666666667,6425,68.7749954561976,144.59137825841,355.486553409791,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400,5720,6010,5630,5660,5670,6050
1997-01-07,6590,6660,6756.66666666667,6436,52.4404424085076,106.547552540549,355.310451916883,6590,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400,5720,6010,5630,5660,5670
1997-01-08,6510,6618,6750,6452.33333333333,72.5947656515261,118.803559350239,346.68562061359,6510,6590,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400,5720,6010,5630,5660
1997-01-09,6670,6626,6738,6476.66666666667,76.3544366752843,117.059203580313,334.904343865871,6670,6510,6590,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400,5720,6010,5630
1997-01-10,7000,6694,6760,6507.66666666667,186.359866924185,133.255929913617,338.981062774221,7000,6670,6510,6590,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400,5720,6010
1997-01-11,7020,6758,6774,6534,237.002109695251,148.987056005355,347.251275412866,7020,7000,6670,6510,6590,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400,5720
1997-01-12,7420,6924,6812,6571.66666666667,352.462763990751,223.708994646425,379.646689957126,7420,7020,7000,6670,6510,6590,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380,5400
1997-01-13,7760,7174,6871.33333333333,6621,421.876759255591,332.004016039967,432.868141107898,7760,7420,7020,7000,6670,6510,6590,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270,5380
1997-01-14,7980,7436,6943.33333333333,6683,437.126983838793,438.645100063279,488.29153247794,7980,7760,7420,7020,7000,6670,6510,6590,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560,5270
1997-01-15,8220,7680,7033.33333333333,6756,472.016948848238,547.509512854952,547.424061809742,8220,7980,7760,7420,7020,7000,6670,6510,6590,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980,5560
1997-01-16,8620,8000,7154,6844.33333333333,454.752680036083,678.546766469132,624.58639187829,8620,8220,7980,7760,7420,7020,7000,6670,6510,6590,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550,5980
1997-01-17,8960,8308,7297.33333333333,6937.33333333333,484.272650476981,814.208350543789,720.990378879484,8960,8620,8220,7980,7760,7420,7020,7000,6670,6510,6590,6700,6660,6630,6720,6810,6810,6870,6900,6870,6850,6810,6670,6850,6610,6350,6080,5910,5840,6430,6170,5970,6030,6120,6280,6290,6230,6070,5940,6020,6260,5950,5710,5400,5440,5550
