"Date","Source","Year","Month","YM","Lat","Long","Site_ID","DO","Chl","TN","TP","TNP","Sal","Proxy_sal","Temp","Proxy_temp","ma01","ma05","ma15","ma30"
1997-07-25,"Frazer",1997,7,"1997-07",29.275,-83.225,"Frazer-8",NA,6.6,440,46,486,23,"N",31,"N",6900,6978,7419.3,7637
1997-07-25,"Frazer",1997,7,"1997-07",29.30417,-83.176,"Frazer-4",NA,1.2,860,83,943,0,"N",29,"N",6900,6978,7419.3,7637
1997-07-25,"Frazer",1997,7,"1997-07",29.275,-83.16167,"Frazer-5",NA,21.7,650,79,729,8,"N",32,"N",6900,6978,7419.3,7637
1997-07-25,"Frazer",1997,7,"1997-07",29.34167,-83.19167,"Frazer-3",NA,6,770,82,852,15,"N",31,"N",6900,6978,7419.3,7637
1997-07-25,"Frazer",1997,7,"1997-07",29.24167,-83.14167,"Frazer-6",NA,9.5,470,58,528,20,"N",31,"N",6900,6978,7419.3,7637
1997-07-25,"Frazer",1997,7,"1997-07",29.30833,-83.14667,"Frazer-2",NA,0.7,1030,87,1117,0,"N",29,"N",6900,6978,7419.3,7637
1997-07-25,"Frazer",1997,7,"1997-07",29.24167,-83.20833,"Frazer-9",NA,6.7,300,39,339,27,"N",31,"N",6900,6978,7419.3,7637
1997-07-25,"Frazer",1997,7,"1997-07",29.20833,-83.19167,"Frazer-10",NA,1.9,200,18,218,31,"N",31,"N",6900,6978,7419.3,7637
1997-07-25,"Frazer",1997,7,"1997-07",29.32723,-83.10382,"Frazer-1",NA,0.6,1050,85,1135,0,"N",28,"N",6900,6978,7419.3,7637
1997-07-25,"Frazer",1997,7,"1997-07",29.30833,-83.24167,"Frazer-7",NA,9.1,420,47,467,22,"N",30.5,"N",6900,6978,7419.3,7637
1997-08-26,"Frazer",1997,8,"1997-08",29.30833,-83.14667,"Frazer-2",NA,0.5,1230,111,1341,0,"N",27.5,"N",8660,9012,9460,8733.7
