"Site","read_time","ID","Sensor_Type","Date","Phosphorus","Nitrogen","Chlorophyll","Secchi","Color","DO","Depth","Conductivity","obs_date","Salinity","Temperature","Sal_LCR","Temp_LCR","Diff_Temp","Lat","Long"
1,2017-04-02 14:00:00,19,"LAKEWATCH",2017-04-02 13:30:00,37,690,5,0.853658537,18,NA,NA,9,2017-04-02,NA,NA,NA,NA,NA,29.26645998,-83.11574997
1,2017-05-01 14:00:00,25,"LAKEWATCH",2017-05-01 13:30:00,49,770,4,0.609756098,11,NA,NA,21,2017-05-01,NA,NA,NA,NA,NA,29.26645998,-83.11574997
1,2017-06-02 17:00:00,31,"LAKEWATCH",2017-06-02 16:55:00,38,640,10,1.219512195,9,NA,NA,14,2017-06-02,NA,NA,NA,NA,NA,29.26645998,-83.11574997
1,2017-07-05 14:00:00,37,"LAKEWATCH",2017-07-05 14:00:00,78,920,7,0.609756098,65,NA,NA,5,2017-07-05,NA,NA,NA,NA,NA,29.26645998,-83.11574997
1,2017-07-31 13:00:00,43,"LAKEWATCH",2017-07-31 13:05:00,73,730,7,0.609756098,22,NA,NA,12,2017-07-31,NA,NA,NA,NA,NA,29.26645998,-83.11574997
1,2017-08-27 14:00:00,49,"LAKEWATCH",2017-08-27 14:09:00,83,670,4,0.457317073,76,NA,NA,8,2017-08-27,NA,NA,0.896624502,29.993,NA,29.26645998,-83.11574997
1,2017-08-27 14:00:00,49,"LAKEWATCH",2017-08-27 14:09:00,83,670,4,0.457317073,76,NA,NA,8,2017-08-27,NA,NA,19.99176017,30.763,NA,29.26645998,-83.11574997
1,2017-09-29 15:00:00,55,"LAKEWATCH",2017-09-29 14:30:00,88,690,18,0.762195122,83,NA,NA,27,2017-09-29,NA,NA,7.279509226,28.44,NA,29.26645998,-83.11574997
1,2017-09-29 15:00:00,55,"LAKEWATCH",2017-09-29 14:30:00,88,690,18,0.762195122,83,NA,NA,27,2017-09-29,NA,NA,5.809028263,28.943,NA,29.26645998,-83.11574997
1,2017-10-26 13:00:00,61,"LAKEWATCH",2017-10-26 13:15:00,64,730,7,0.548780488,92,NA,NA,7,2017-10-26,NA,NA,0.618554575,22.977,NA,29.26645998,-83.11574997
1,2017-01-02 16:00:00,1,"LAKEWATCH",2017-01-02 16:00:00,77,1070,5,0.609756098,16,NA,NA,13.68,2017-01-02,NA,NA,NA,NA,NA,29.26645998,-83.11574997
1,2017-02-05 15:00:00,7,"LAKEWATCH",2017-02-05 15:00:00,110,1250,50,1.219512195,91,NA,NA,14,2017-02-05,NA,NA,NA,NA,NA,29.26645998,-83.11574997
1,2017-03-06 16:00:00,13,"LAKEWATCH",2017-03-06 16:00:00,29,410,3,1.067073171,18,NA,NA,38,2017-03-06,NA,NA,NA,NA,NA,29.26645998,-83.11574997
1,2018-01-11 16:00:00,136,"LAKEWATCH",2018-01-11 16:00:00,41,810,10,1.158536585,20,NA,NA,26,2018-01-11,NA,NA,22.75956802,15.733,NA,29.26645998,-83.11574997
1,2018-01-11 16:00:00,136,"LAKEWATCH",2018-01-11 16:00:00,41,810,10,1.158536585,20,NA,NA,26,2018-01-11,NA,NA,26.41098789,15.17,NA,29.26645998,-83.11574997
1,2018-01-27 16:00:00,142,"LAKEWATCH",2018-01-27 15:40:00,42,670,3,1.067073171,23,NA,NA,21,2018-01-27,NA,NA,11.47603686,16.377,NA,29.26645998,-83.11574997
1,2018-01-27 16:00:00,142,"LAKEWATCH",2018-01-27 15:40:00,42,670,3,1.067073171,23,NA,NA,21,2018-01-27,NA,NA,20.74100658,14.463,NA,29.26645998,-83.11574997
1,2018-02-22 15:00:00,148,"LAKEWATCH",2018-02-22 15:02:00,74,650,1,0.609756098,90,NA,NA,5,2018-02-22,NA,NA,21.50829823,24.043,NA,29.26645998,-83.11574997
1,2018-02-22 15:00:00,148,"LAKEWATCH",2018-02-22 15:02:00,74,650,1,0.609756098,90,NA,NA,5,2018-02-22,NA,NA,24.36314667,24.343,NA,29.26645998,-83.11574997
1,2018-03-16 17:00:00,NA,"YSI only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.88239555,17.54,NA,29.26645998,-83.11574997
1,2018-03-16 17:00:00,NA,"YSI only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159347115,18.7,NA,29.26645998,-83.11574997
