"Year","Month","model","nug","psill","range","kappa"
1997,1,"Exp",2722.2497367789,0,5.52994069351761,0
1997,2,"Ste",1006.02412541185,5947.28316553857,120.72189049013,1.2
1997,3,"Ste",418.550983560358,616.553877241382,7.67388310852888,10
1997,4,"Ste",0,121.446693072129,5.8079807542213,0.2
1997,5,"Ste",210.194467116498,354.632623720519,13.1794293680088,10
1997,6,"Ste",0,258.171839767995,6.70835401857336,0.4
1997,7,"Ste",2806.59047393783,781.977774937563,0.229364349818683,10
1997,8,"Ste",16.3049894774633,1108.64297731289,9.95708402731749,0.4
1997,9,"Exp",0,2202.1704450081,6.25134838370811,0
1997,10,"Ste",9595.03299521311,0,5.91315377441388,0.7
1997,11,"Ste",0,999.510977749031,0.559658669516233,1.1
1997,12,"Ste",3072.17013668839,6300.28635741352,9.55176917123497,10
1998,1,"Ste",0.513082862242825,103917.702129034,31.1604434085029,0.4
1998,2,"Ste",0,975.514703277585,0.686513250183941,1.1
1998,3,"Ste",0,2113.81598926767,0.491514327530627,10
1998,4,"Ste",9.20662834534466,379.065290202416,0.782155493550637,5
1998,5,"Ste",3.77538211144709,71.7908358798503,11.5176905529084,0.3
1998,6,"Ste",45.9906013937631,60.0942040901791,7.74340890231131,10
1998,7,"Ste",407.404148873747,289.940642370438,29.2531637753844,0.9
1998,8,"Ste",0,300.926450873225,6.0481796890598,0.5
1998,9,"Sph",12.8033102946807,95.6592367901881,4.3769217230253,0
1998,10,"Ste",0,2944.72250431177,1.21549379731926,0.7
1998,11,"Ste",87.6004993676827,33677.845404487,1588.11706967039,0.5
1998,12,"Exp",0,101204.311954109,19.8435752872447,0
1999,1,"Ste",0,162.768715433303,7.71923162224699,0.3
1999,2,"Ste",0,4601.20158109618,0.997113119605108,0.9
1999,3,"Ste",0,1176.16472550082,4.40800155984814,0.5
1999,4,"Exp",38.8560546701374,3671.06149566327,33.5648687294574,0
1999,5,"Ste",0,450.841430076276,32.3528978301435,0.5
1999,6,"Ste",0,923.42330535489,1.21195020619645,0.9
1999,7,"Ste",8.75529532571406,62.7572568132824,4.39729612387836,1
1999,8,"Ste",0,134.192264933668,0.436210851738019,10
1999,9,"Ste",34.5238371754272,188.149692686727,7.50523050168008,10
1999,10,"Ste",94.9717423209257,527.830549946269,5.93095885042628,10
1999,11,"Ste",0,5933.06494445101,0.707968213822443,5
1999,12,"Exp",132.443461000132,8266.32796502967,25.1125006105731,0
2000,1,"Ste",263.135679021977,1396.93409064681,19.1625091669269,0.3
2000,2,"Ste",0,373.207059033341,0.568291083774163,1
2000,3,"Ste",237.683380659336,13326.3161722285,133.501839888159,10
2000,4,"Ste",94.4713482112682,319.560792564066,3.94906757018902,10
2000,5,"Ste",0,1481.01110489471,57.7409548139136,0.5
2000,6,"Ste",65.4780039014076,31451.181891422,11450.3011165725,0.4
2000,7,"Ste",0,463.996303611888,0.538392738791174,1.3
2000,8,"Sph",4.73529061141076,126.940098742135,7.22684998886189,0
2000,9,"Sph",16.0742353435088,534.925729207012,10.2656562422791,0
2000,10,"Ste",0,17467.6282573174,16.0948809443144,0.4
2000,11,"Ste",0,199.298040908716,3.3978912049322,0.3
2000,12,"Ste",37.32711836085,149.380422556455,4.30593667597892,1
2001,1,"Ste",4.1963698098233,817.785980933415,17.1624736700484,0.4
2001,2,"Sph",0,3007.66391670379,17.5407732347311,0
2001,3,"Ste",0,886.620153520659,4.40857437413207,0.6
2001,4,"Ste",0.069517095636069,13.2040856641908,3.78473387219253,0.4
2001,5,"Ste",7.17120443178441,315.133873774151,40.4690674763633,0.3
2001,6,"Ste",16.2015296105391,490297.803793851,14558.7481301228,0.6
2001,7,"Ste",0,1717.51544563139,6.17285180223081,0.6
2001,8,"Ste",0,471.413467492579,6.08103125169442,0.3
2001,9,"Exp",0,37298.3650545652,165.421781550406,0
2001,10,"Ste",0,1049.13870842892,5.1938885078725,0.6
2001,11,"Ste",0,52464.5938938519,39.4676883840247,0.3
2001,12,"Ste",92.0419747745393,1743.59080216364,3.96764403918352,1.8
2002,1,"Ste",0,3513.28246811684,3.62342987159305,0.4
2002,2,"Ste",0.373031234842431,77.0065388253191,0.885225821895371,1.1
2002,3,"Ste",0,163.259447762299,1.75924681844441,0.2
2002,4,"Ste",0,7937.32999771752,24.1644612428554,0.2
2002,5,"Ste",1.10665488137697,10.4407611080663,1.85442384898395,10
2002,6,"Ste",0,20.5927003003249,5.50947080328374,0.4
2002,7,"Ste",0,129.233232665642,4.68464527315283,0.6
2002,8,"Ste",0,709.692494611694,12.0334898273427,0.3
2002,9,"Ste",0,16.8315304820361,0.481921644715036,5
2002,10,"Ste",0,30.4996052623462,0.933435444366594,2
2002,11,"Ste",1252.11753992781,0,5.85588927625095,1.3
2002,12,"Ste",830.49182622607,5023.1527039483,46.247207194229,5
2003,1,"Ste",86.011179329933,12.836424176407,0.193823559598286,1.5
2003,2,"Sph",637.048130123369,1514.33327277764,29.5076163323581,0
2003,3,"Ste",0,166.929915422977,1.04107299165038,5
2003,4,"Ste",189.096504287558,4088.82262247695,61.5166619889313,10
2003,5,"Ste",0,101.797191013939,1.23680412088281,1
2003,6,"Ste",35.2897375489276,1668171.57972561,12163.066340938,0.7
2003,7,"Ste",0,690.840613395929,3.93086725940123,0.7
2003,8,"Ste",90.9140500533975,2026.28077097064,13.7255276829889,0.5
2003,9,"Sph",346.075234773167,26.2187740622998,83.8534377878827,0
2003,10,"Ste",491.79021572664,2060.76205323132,10.1898633272189,10
2003,11,"Sph",507.641594807279,422.196228076589,0.0457189253980932,0
2003,12,"Ste",0,2249.5584702104,7.92015436741238,0.2
2004,1,"Ste",0,59.4729107720456,2.93476993298614,0.05
2004,2,"Ste",78.8953469883467,1130.725919364,446.661156005354,0.4
2004,3,"Ste",0.782090426316848,412.798513932579,4.29793351560358,0.3
2004,4,"Ste",11.1525695947107,49.7319779235894,8.55085563640764,10
2004,5,"Ste",0,8828.21302347552,6.70466587428515,10
2004,6,"Ste",1.32374526272138,32.3970338648482,27.030505774603,10
2004,7,"Ste",0,176.131645541626,4.44882661132245,0.5
2004,8,"Ste",0,952.250953707495,0.547908929018405,0.4
2004,9,"Ste",0,463.441671429084,0.502039146917059,1.1
2004,10,"Ste",692.831106953021,517.802492748127,19.2771981587136,10
2004,11,"Ste",0,3080.39945665761,4.36428336899304,0.6
2004,12,"Ste",1492.06879913796,3072.85857636647,2.87392896454586,5
2005,1,"Ste",10606.3130767382,0,5.03091417746413,5
2005,2,"Ste",0,1300.89475286936,6.24454677186477,0.6
2005,3,"Ste",0,1592.87661949601,0.506534296604268,1.6
2005,4,"Ste",62.5887363744439,13.5875250220027,43.6909925050206,5
2005,5,"Ste",35.5229807029193,26723.8733462126,664.567299771241,0.6
2005,6,"Ste",19.7891854067982,1280.27101726449,8.37056347358592,0.4
2005,7,"Ste",1.9075925757583,154.741332953975,1.43762261352005,0.7
2005,8,"Ste",0,11394.1610460927,0.884267120291726,10
2005,9,"Ste",36.8709803913664,61918.1382261178,205.415291979173,5
2005,10,"Sph",53.6396924971853,255.96140450133,5.35485170182957,0
2005,11,"Ste",0,968.708253896664,1.01429070010333,10
2005,12,"Sph",0,12441.9953214892,1.49557944779108,0
