"Year","Month","model","nug","psill","range","kappa"
1997,7,"Ste",0,6866495.55256956,80.7516010251945,5
1997,8,"Exp",107107.413339269,479526.101652828,38.6053152893928,0
1997,9,"Exp",65388.0515450094,138635.652136699,27.0296460528602,0
1997,11,"Ste",0,5675492.53416409,144.885834105044,1.3
1997,12,"Ste",0,334157.060839169,16.6015490147089,10
1998,1,"Ste",0,181860.185327994,13.2533448087382,5
1998,2,"Ste",0,78621.9239767379,8.27173172108725,10
1998,3,"Ste",0,88684.1046105772,8.66117852459914,10
1998,4,"Ste",0,330965.076828385,11.0139357391026,10
1998,5,"Ste",0,2393516.74020776,32.3486145155841,10
1998,6,"Ste",99710.7327695302,793922.202816327,30.8374496872311,10
1998,7,"Exp",18993.3888888889,32197.3020833333,1.99126675535384,0
1998,8,"Exp",74553.3742724218,207420.968776382,30.1045112467295,0
1998,9,"Ste",0,519276.523298535,18.1537026892973,10
1998,11,"Exp",92262.1729466348,268981.715362514,35.0878706864842,0
1998,12,"Exp",159455.196933694,459175.088117131,33.1962587361511,0
1999,1,"Exp",145786.79189563,387198.613467438,49.8551408672022,0
1999,2,"Ste",0,421383.639444169,14.3932948672025,5
1999,3,"Ste",70616.3884528941,253810.113175032,26.5313926897735,5
1999,4,"Exp",45034.7529351649,102137.175121707,28.3574187066831,0
1999,5,"Ste",0,85582.5485896142,9.31249884913034,10
1999,6,"Ste",17428.1227794927,2724162.46506607,81.9000175164347,5
1999,7,"Exp",72489.2056302966,232320.150135942,46.343145164246,0
1999,8,"Ste",43426.2533153163,259648.285503214,25.4428382244421,10
1999,9,"Exp",45679.02716511,121239.594458761,25.7178680347064,0
1999,10,"Exp",75706.7760396496,174704.53802649,39.577740164493,0
1999,11,"Ste",59093.6192766652,260860.042964775,23.6054532340355,10
1999,12,"Exp",64612.9333757537,146526.820506718,36.6853816724909,0
2000,1,"Exp",12304.0555555556,10377.8958333333,1.99126675535384,0
2000,2,"Exp",72444.2344720174,331466.146903088,42.1065780239661,0
2000,3,"Ste",43203.6247432142,946573.65584058,65.4202441480466,1.8
2000,4,"Ste",0,13101646.7943444,142.353562369608,2
2000,5,"Exp",19578.9720287456,52072.054471432,41.8569456085171,0
2000,6,"Ste",0,814632.411855623,52.4836154616622,10
2000,7,"Exp",13858.0821247674,52623.5240223072,35.3961131423115,0
2000,8,"Ste",0,46021253.7031993,296.758987179656,1.8
2000,9,"Ste",0,457554.04209076,10.8437973878288,10
2000,10,"Ste",128829.572689522,785906.109498277,37.2949305144901,1.9
2000,11,"Exp",58415.563156317,121360.004986633,27.5588000205773,0
2000,12,"Exp",63659.3921413771,217230.393597709,36.1211043102293,0
2001,1,"Ste",55919.2290689318,172843.822125777,22.7940031731257,10
2001,2,"Exp",98495.7516768804,210346.788934377,30.7963075238238,0
2001,3,"Ste",0,152239.021515584,9.24274897148183,5
2001,4,"Ste",0,358119.414064806,21.0092606589691,1.2
2001,5,"Ste",38702.964535278,706314.320561921,33.3101775904719,10
2001,6,"Ste",0,40219.7565288172,6.91953040863019,2
2001,7,"Ste",0,100379.204029746,5.18501583516593,5
2001,8,"Exp",10401.1666666667,211384.84375,1.99126675535384,0
2001,9,"Ste",48360.8489391381,2517896.7166818,47.95434829133,5
2001,10,"Exp",10450.0555555556,3008.06770833333,1.99126675535384,0
2001,11,"Exp",20697.3888888889,285.833333333332,1.99126675535384,0
2001,12,"Exp",5265.22222222222,5242.38020833333,1.99126675535384,0
2002,1,"Exp",28266.9520978425,77202.508554413,28.5976683880202,0
2002,2,"Sph",15568.4375,1260.671875,1.99126675535384,0
2002,3,"Exp",10430.8333333333,4652.5625,1.99126675535384,0
2002,4,"Ste",62649.1055719155,383003.549584572,27.1597604751729,5
2002,5,"Exp",10279.0290848743,10502.5524909689,43.0519883401251,0
2002,6,"Exp",21759.4516464254,39651.2372357359,49.8691428864927,0
2002,7,"Exp",3074.77777777778,24933.7760416667,1.99126675535384,0
2002,8,"Exp",3592.16666666667,7688.640625,1.99126675535384,0
2002,9,"Ste",0,292350.012489221,19.7526946966223,10
2002,10,"Ste",0,34921.1787786084,5.6362102168131,10
2002,11,"Exp",54031.9311750261,240014.488441809,40.8444744230119,0
2002,12,"Sph",142243.112903226,1,2.94105953806765,0
2003,1,"Exp",81960.4286583454,218443.401639183,40.9865390539056,0
2003,2,"Exp",99235.62625623,571657.94894541,43.2657083066495,0
2003,3,"Ste",0,276755.244273513,7.6886210290013,10
2003,4,"Ste",0,256639.504995916,9.19996397866741,10
2003,5,"Exp",129241.460189568,304632.770227956,35.9205781757547,0
2003,6,"Ste",0,378649.445904346,11.6431774430254,10
2003,7,"Ste",53306.2380208653,962688.549642446,56.2882987336545,1.9
2003,8,"Ste",0,376809.028972597,10.8473984434406,10
2003,9,"Ste",0,615399.098579923,11.7582739280392,10
2003,10,"Exp",108335.078808007,277437.657705062,30.3905893180565,0
2003,11,"Ste",47171.9007579752,2196195.88530937,47.6399271707098,5
2003,12,"Exp",89708.317946075,178417.734051832,27.8441594971968,0
2004,1,"Exp",155618.009812882,328728.684765502,27.3891122987537,0
2004,2,"Exp",57614.752545337,119455.313178246,29.1576197875624,0
2004,3,"Ste",0,7811886.2193957,78.2657589767176,10
2004,4,"Exp",94962.5885412459,345616.324744111,38.4223914165572,0
2004,5,"Exp",50221.6448976786,129041.915366157,28.5428648644933,0
2004,6,"Ste",26610.5817131452,82796.9708504322,23.651074672556,5
2004,7,"Exp",60818.3132772648,292209.314172964,41.1005913652152,0
2004,8,"Exp",72775.2023201385,369170.814076236,46.8673022545339,0
2004,9,"Ste",0,30304811.9462885,158.767283609805,2
2004,10,"Ste",0,107430.350268959,11.5548177319144,10
2004,11,"Ste",0,130044.725143572,9.30412336086581,10
2004,12,"Ste",0,48020808.2687229,237.561956970201,1.8
2005,1,"Exp",102089.31755557,453271.146203611,44.8787348667724,0
2005,2,"Ste",0,924433.886118991,34.0192688414804,1.4
2005,3,"Ste",0,269685.43189995,9.35053858783623,10
2005,4,"Ste",0,147199.818871034,8.48206548532159,10
2005,5,"Ste",0,173800.870010436,13.6679884509632,10
2005,6,"Ste",89204.428747147,3199551.49661586,69.4431517879641,2
2005,7,"Exp",14995.1111111111,45742.4166666667,1.99126675535384,0
2005,8,"Exp",59539.4022798628,57993.0141166896,43.3486072560326,0
2005,9,"Ste",74785.7099736556,932541.44336999,30.2707011930566,10
2005,10,"Ste",84100.2169489824,669343.307001313,31.0777655480067,10
2005,11,"Exp",173604.090650826,505020.614154525,36.0333141211132,0
2005,12,"Ste",146771.201858724,873698.720614499,31.2537112955993,5
2006,1,"Ste",0,197824792.073885,591.108057874627,1.5
2006,2,"Ste",0,47031.9220059205,7.41206071154976,10
2006,3,"Ste",0,1292937.88363964,23.4980898361471,10
2006,4,"Ste",0,2043722.69553943,25.7167236152736,10
2006,5,"Ste",261705.663473815,1562347.24514619,2.10265647794857,1.4
2006,6,"Ste",23241.0804745191,214691.048207584,39.297371485215,10
2006,7,"Ste",0,384905.437267137,14.6291701311367,10
2006,8,"Exp",23687.1111111111,8333.72916666667,1.99126675535384,0
2006,9,"Ste",0,126864.123126687,6.17856085939896,10
2006,10,"Exp",13067.1666666667,28181.453125,1.99126675535384,0
2006,11,"Exp",38766.039550996,118026.579482297,37.525463093497,0
2006,12,"Exp",30011.9444444444,40.7760416666642,1.99126675535384,0
2007,1,"Exp",134654.640098677,258085.80832764,31.188835607573,0
2007,2,"Ste",68700.7484087967,1439839.54303599,71.7733721845206,1.6
2007,3,"Ste",61077.4655951618,423171.17899344,35.5319591562476,2
2007,4,"Exp",68749.5193310659,74759.2773729164,27.9767531096704,0
2007,5,"Ste",0,65740.6514917976,8.24549545966334,5
2007,6,"Ste",0,83856.105817612,6.40489843302404,10
2007,7,"Ste",0,157155.787129075,17.7466429074987,10
2007,8,"Exp",7225.44444444444,19350.9791666667,1.99126675535384,0
2007,9,"Ste",84820.0344464818,344740.910031356,24.257127947369,5
2007,10,"Exp",103430.631134823,457913.488377479,41.9335475303371,0
2007,11,"Sph",21478.0625,21282.3697916667,1.99126675535384,0
2007,12,"Sph",18345.4375,19578.0052083333,1.99126675535384,0
2008,1,"Exp",50759.1332788288,165692.100644436,25.2442229033125,0
2008,2,"Exp",75144.5493029114,195293.645714096,27.3151710954166,0
2008,3,"Ste",108807.734367661,654548.923345502,26.299475285178,10
2008,4,"Ste",74385.1340865679,1002306.44744442,31.8587883943237,10
2008,5,"Ste",29235.7979712442,2574910.62052748,90.4267974132253,1.8
2008,6,"Exp",29818.5314055056,81227.4207143114,30.9297732001341,0
2008,7,"Exp",8514.27777777778,39439.7135416667,1.99126675535384,0
2008,8,"Ste",0,197173.330180946,9.72727074738675,10
2008,9,"Ste",162223.627405317,863300.305753318,52.8244513179437,1.5
2008,10,"Exp",88103.2766215938,208677.617891337,27.8060396453884,0
2008,11,"Exp",93111.8,61955.3464285714,2.33577710876716,0
2008,12,"Exp",90790.5247039889,171980.340230909,29.2615552168707,0
2009,1,"Exp",91825.1831895339,298755.43112423,33.2112138616343,0
2009,2,"Exp",140769.365279112,379465.364816004,59.2955334179234,0
2009,3,"Ste",51564.3537400809,158155.025515077,26.4941280496085,5
2009,4,"Ste",0,67312.5022119608,7.61744403360472,10
2009,5,"Ste",0,334576.639323577,14.130550688926,10
2009,6,"Ste",0,612382787.211111,982.461117353911,1.4
2009,7,"Exp",99445.1839230895,186673.004477239,36.9961390311822,0
2009,8,"Ste",101835.584985497,301901.405112358,22.1704370390675,10
2009,9,"Exp",5911.19864804324,171638.986471107,1.42646702005333,0
2009,10,"Ste",160036.239740481,445084.435478753,22.3414405015052,10
2009,11,"Ste",134864.251145288,1886866.5486308,62.3900007456885,1.4
2009,12,"Sph",80399.95,1,2.94105953806765,0
2010,1,"Exp",83260.393710752,220419.331625764,43.0527577469875,0
2010,2,"Ste",0,108083.156531196,8.83080499445478,10
2010,3,"Ste",0,351099.830876968,12.6954589544587,2
