"Year","Month","model","nug","psill","range","kappa"
1997,1,"Exp",0.0406211705092036,240.008631531837,36.9724386269712,0
1997,2,"Ste",0,224.519028907801,40.2691771001575,0.5
1997,3,"Ste",4.94796410177931,1803.02456563909,287.571369809455,0.6
1997,4,"Ste",7.16823354722156,87.6611659570563,12.4149941290942,1
1997,5,"Ste",9.69810533260948,46.9501864306302,7.80985531280531,0.9
1997,6,"Ste",9.92382743386711,161.791054778496,23.1825370383547,2
1997,7,"Ste",11.8754020450043,71.8003831430971,11.3218423465377,2
1997,8,"Ste",13.9749679728026,52.1191374827531,6.78048258932061,10
1997,9,"Ste",5.02865510873482,111.456585927479,14.5699697970103,2
1997,10,"Ste",6.57402329722116,93.7220052166389,20.5602780534958,0.6
1997,11,"Ste",5.48310187272913,179.31411929774,25.2953275298539,0.8
1997,12,"Ste",9.79591919148438,260.508772580558,22.7928746586898,10
1998,1,"Ste",14.6626549949514,101.978366709152,15.1168126410927,1.2
1998,2,"Ste",7.29885197724974,546.631452030779,116.653021355097,0.7
1998,3,"Exp",1.25586846693097,7723.19741768433,2309.47882710908,0
1998,4,"Ste",4.77431379636994,78.169973069194,12.0774346147626,5
1998,5,"Ste",3.80923934462129,131.651476432353,25.5450779872408,1.5
1998,6,"Ste",9.02049747489277,66.7620081503814,12.0342197540124,1.2
1998,7,"Ste",13.1568036931594,85.7377886288698,10.3914907719301,2
1998,8,"Ste",13.4211986416118,68.2120651547378,11.3598356622169,5
1998,9,"Ste",9.07745980363442,62.8499784751534,17.4902338596313,0.9
1998,10,"Ste",12.0184254594564,86.7613269604371,13.4952044391473,1.7
1998,11,"Ste",10.6182461302643,154.968897756216,26.9196755809184,1.5
1998,12,"Ste",9.85839621169499,188.274600589452,20.6838889075602,1.4
1999,1,"Ste",6.62793414451637,108.754687666166,21.2780612171672,1.6
1999,2,"Ste",14.8250335201115,258.511375136165,35.2945410266537,1
1999,3,"Ste",1.68567253251854,767.717741103301,113.010055127812,0.6
1999,4,"Ste",5.60680859445255,210.881531281694,21.8770020198216,0.8
1999,5,"Ste",11.9123414263809,248.59800802846,24.2012340150805,1.3
1999,6,"Ste",8.07874148500998,89.1341631359937,18.1860360214187,1.5
1999,7,"Ste",13.7078838818555,68.3708094286363,11.3496541873076,5
1999,8,"Ste",14.4044878971517,74.6111237554289,12.1357958239888,1.7
1999,9,"Ste",6.05089050791623,546.323396229932,121.688161499493,0.7
1999,10,"Sph",4.44755640466674,80.6662471807852,19.478518839917,0
