"Year","Month","model","nug","psill","range","kappa"
1997,7,"Ste",0,6866495.64008113,80.751601374236,5
1997,8,"Exp",107107.413339271,479526.101652763,38.605315289388,0
1997,9,"Exp",65388.0515450094,138635.652136699,27.0296460528602,0
1997,11,"Ste",0,5675492.40050183,144.885832264078,1.3
1997,12,"Ste",0,334157.060856162,16.601549015189,10
1998,1,"Ste",0,181860.185327994,13.2533448087382,5
1998,2,"Ste",0,78621.9239771347,8.27173172112004,10
1998,3,"Ste",0,88684.1046105692,8.66117852459893,10
1998,4,"Ste",0,330965.076831021,11.0139357391614,10
1998,5,"Ste",0,2393516.74900099,32.348614577127,10
1998,6,"Ste",99710.7327771825,793922.202648542,30.8374496857807,10
1998,7,"Exp",18993.3888888889,32197.3020833333,1.99126675535384,0
1998,8,"Exp",74553.3742724215,207420.968776371,30.1045112467277,0
1998,9,"Ste",0,519276.523298535,18.1537026892973,10
1998,11,"Exp",92262.1729466337,268981.715362563,35.0878706864904,0
1998,12,"Exp",159455.196933689,459175.088117135,33.1962587361497,0
1999,1,"Exp",145786.79189563,387198.613467438,49.8551408672022,0
1999,2,"Ste",0,421383.639449082,14.3932948673054,5
1999,3,"Ste",70616.3884549096,253810.113122477,26.5313926891364,5
1999,4,"Exp",45034.7529351641,102137.175121728,28.3574187066889,0
1999,5,"Ste",0,85582.5485896142,9.31249884913034,10
1999,6,"Ste",17428.1227787365,2724162.46492374,81.9000175135479,5
1999,7,"Exp",72489.2056302935,232320.150135868,46.3431451642259,0
1999,8,"Ste",43426.2533153163,259648.285503214,25.4428382244421,10
1999,9,"Exp",45679.02716511,121239.594458761,25.7178680347064,0
1999,10,"Exp",75706.7760396519,174704.538026511,39.5777401645009,0
1999,11,"Ste",59093.6192766652,260860.042964775,23.6054532340355,10
1999,12,"Exp",64612.9333757558,146526.820506752,36.6853816725033,0
2000,1,"Exp",12304.0555555556,10377.8958333333,1.99126675535384,0
2000,2,"Exp",72444.2344720147,331466.146903116,42.106578023968,0
2000,3,"Ste",43203.624743693,946573.655774685,65.4202441466112,1.8
2000,4,"Ste",0,13101646.79123,142.353562352404,2
2000,5,"Exp",19578.9720287455,52072.0544714484,41.8569456085307,0
2000,6,"Ste",0,814632.29537498,52.4836116588147,10
2000,7,"Exp",13858.0821247675,52623.5240222932,35.3961131423014,0
2000,8,"Ste",0,46021253.7031993,296.758987179656,1.8
2000,9,"Ste",0,457554.042088551,10.8437973877941,10
2000,10,"Ste",128829.572689984,785906.109488325,37.2949305144125,1.9
2000,11,"Exp",58415.5631563174,121360.004986643,27.5588000205802,0
2000,12,"Exp",63659.3921413806,217230.393597627,36.121104310217,0
2001,1,"Ste",55919.229068652,172843.822115496,22.7940031730423,10
2001,2,"Exp",98495.7516768802,210346.788934352,30.7963075238195,0
2001,3,"Ste",0,152239.021515937,9.24274897149822,5
2001,4,"Ste",0,358119.414065566,21.0092606590017,1.2
